audio_link,model,transcription
https://clyp.it/51dwfsom,dctts,"1. No, minä otan vain paahtoleivän ja kahvin."
https://clyp.it/jjrcahsm,dctts,2. Olen kuullut sen laulun laulettuna ranskaksi.
https://clyp.it/0zxcvnqg,dctts,3. Vauva on jatkanut itkemistään jo lähes kymmenen minuuttia.
https://clyp.it/indwcv41,dctts,"4. On joitakin tärkeitä kysymyksiä, joihin tiede ei osaa vastata."
https://clyp.it/1ghiu2qw,dctts,"5. Sinulla ei ole mitään sanottavaa siitä, vai?"
https://clyp.it/qcug4zoo,dctts,6. Hyvää matkaa!
https://clyp.it/av5gdw33,dctts,"7. Jos et tuntenut minua tällä tavalla, et yksinkertaisesti tuntenut minua."
https://clyp.it/hy0arucy,dctts,8. Minä tein töitä eilen koko päivän.
https://clyp.it/h4j2o5c5,dctts,9. Bussia odottaessani tapasin ystäväni.
https://clyp.it/wshmotg3,dctts,10. Kuinka monta meistä oli siellä?
https://clyp.it/sfu1hysf,dctts,11. Pidetään teetauko jossain siellä.
https://clyp.it/yvgecgxr,dctts,12. Juna Cambridgeen lähtee laiturilta viisi.
https://clyp.it/zunlvjcu,dctts,13. Tomi soittaa bassoa rokkibändissä.
https://clyp.it/yp0vvpor,dctts,14. En ole profeetta.
https://clyp.it/cqet2pvf,dctts,15. Mikä hameista on sinulle mieleinen?
https://clyp.it/5l4hrwvg,dctts,16. Kevät on puidenistutusaika.
https://clyp.it/555hjrf2,dctts,17. Kuinka monta kirjaa olet tähän mennessä lukenut tänä kesänä?
https://clyp.it/d4ihqsdr,dctts,18. En ole koskaan aikaisemmin maistanut mangoa.
https://clyp.it/w0xfvywk,dctts,"19. Tiesitkö, että keskustelu on yksi suurimmista ihmiselon iloista?"
https://clyp.it/vvgmmmzq,dctts,"20. Jos mietit hieman, niin huomaat, että koko suunnitelma ei tule kysymykseenkään."
https://clyp.it/ulht5syz,tacotron,"1. No, minä otan vain paahtoleivän ja kahvin."
https://clyp.it/ddars3bs,tacotron,2. Olen kuullut sen laulun laulettuna ranskaksi.
https://clyp.it/1yewyceq,tacotron,3. Vauva on jatkanut itkemistään jo lähes kymmenen minuuttia.
https://clyp.it/iexfjzda,tacotron,"4. On joitakin tärkeitä kysymyksiä, joihin tiede ei osaa vastata."
https://clyp.it/bmodlgtz,tacotron,"5. Sinulla ei ole mitään sanottavaa siitä, vai?"
https://clyp.it/jtfffm4q,tacotron,6. Hyvää matkaa!
https://clyp.it/xcjaofjb,tacotron,"7. Jos et tuntenut minua tällä tavalla, et yksinkertaisesti tuntenut minua."
https://clyp.it/tgrweluj,tacotron,8. Minä tein töitä eilen koko päivän.
https://clyp.it/uljbiot5,tacotron,9. Bussia odottaessani tapasin ystäväni.
https://clyp.it/ynapixrs,tacotron,10. Kuinka monta meistä oli siellä?
https://clyp.it/eaexey5z,tacotron,11. Pidetään teetauko jossain siellä.
https://clyp.it/2vbumpeb,tacotron,12. Juna Cambridgeen lähtee laiturilta viisi.
https://clyp.it/w0buygr5,tacotron,13. Tomi soittaa bassoa rokkibändissä.
https://clyp.it/v3uff1bi,tacotron,14. En ole profeetta.
https://clyp.it/obarpf1s,tacotron,15. Mikä hameista on sinulle mieleinen?
https://clyp.it/e0b0txdw,tacotron,16. Kevät on puidenistutusaika.
https://clyp.it/3yv0ymk3,tacotron,17. Kuinka monta kirjaa olet tähän mennessä lukenut tänä kesänä?
https://clyp.it/maacpbfb,tacotron,18. En ole koskaan aikaisemmin maistanut mangoa.
https://clyp.it/ufg4n3v0,tacotron,"19. Tiesitkö, että keskustelu on yksi suurimmista ihmiselon iloista?"
https://clyp.it/meiggp4e,tacotron,"20. Jos mietit hieman, niin huomaat, että koko suunnitelma ei tule kysymykseenkään."
